table rs232InSigTable,snmptable -ib, .1.3.6.1.2.1.10.33.5,RS-232-MIB,rs232InSigTable
table rs232OutSigTable,snmptable -ib, .1.3.6.1.2.1.10.33.6,RS-232-MIB,rs232OutSigTable
table ltsLineTable, snmptable -ib, .1.3.6.1.4.1.9.2.9.2, OLD-CISCO-TS-MIB,ltsLineTable
table cdpInterfaceTable, snmptable -ib,.1.3.6.1.4.1.9.9.23.1.1.1,CISCO-CDP-MIB,cdpInterfaceTable
table cdpCacheTable, snmptable -ib,.1.3.6.1.4.1.9.9.23.1.2.1,CISCO-CDP-MIB,cdpCacheTable
table isdnBasicRateTable, snmptable -ib,.1.3.6.1.2.1.10.20.1.1.1, ISDN-MIB,isdnBasicRateTable
table isdnBearerTable, snmptable -ib, .1.3.6.1.2.1.10.20.1.2.1, ISDN-MIB, isdnBearerTable
table isdnSignalingTable, snmptable -ib, .1.3.6.1.2.1.10.20.1.3.2, ISDN-MIB, isdnSignalingTable
table isdnSignalingStatsTable, snmptable -ib, .1.3.6.1.2.1.10.20.1.3.3, ISDN-MIB,isdnSignalingStatsTable
table isdnLapdTable, snmptable -ib, .1.3.6.1.2.1.10.20.1.3.4, ISDN-MIB,isdnLapdTable
table isdnEndpointTable, snmptable -ib, .1.3.6.1.2.1.10.20.1.4.2, ISDN-MIB,isdnEndpointTable
table isdnDirectoryTable, snmptable -ib, .1.3.6.1.2.1.10.20.1.5.1, ISDN-MIB, isdnDirectoryTable
table ccasDs1IfCfgTable, snmptable -ib,.1.3.6.1.4.1.9.9.85.1.1.1,CISCO-CAS-IF-MIB,ccasDs1IfCfgTable
table dialCtlPeer,snmptable -ib,1.3.6.1.2.1.10.21.1.2.1,DIAL-CONTROL-MIB,dialCtlPeer
table demandNbrTable,snmptable -ib,.1.3.6.1.4.1.9.9.26.1.1.1,CISCO-ISDN-MIB,demandNbrTable
walk ciscoCallResourcePoolMIB,snmpwalk,.1.3.6.1.4.1.9.9.124,CISCO-CALL-RESOURCE-POOL-MIB,ciscoCallResourcePoolMIB
table cmmFaxGeneralCfg,snmptable -ib,.1.3.6.1.4.1.9.9.102.1.4,CISCO-MMAIL-DIAL-CONTROL-MIB,cmmFaxGeneralCfg
table ciscoCallHistoryTable,snmptable -ib,.1.3.6.1.4.1.9.9.27.1.1.3,CISCO-CALL-HISTORY-MIB,ciscoCallHistoryTable
table cpmDS0UsageTable, snmptable -ib, .1.3.6.1.4.1.9.10.19.1.1.1,CISCO-POP-MGMT-MIB, cpmDS0UsageTable
get ISDNCfgBChanInUseForAnalog, snmpget, .1.3.6.1.4.1.9.10.19.1.1.2.0,CISCO-POP-MGMT-MIB, cpmISDNCfgBChanInUseForAnalog
get ISDNCfgBChannelsInUse, snmpget, .1.3.6.1.4.1.9.10.19.1.1.3.0,CISCO-POP-MGMT-MIB, cpmISDNCfgBChannelsInUse
get cpmActiveDS0s, snmpget, .1.3.6.1.4.1.9.10.19.1.1.4.0,CISCO-POP-MGMT-MIB, cpmActiveDS0s
get cpmPPPCalls, snmpget, .1.3.6.1.4.1.9.10.19.1.1.5.0,CISCO-POP-MGMT-MIB, cpmPPPCalls
get cpmV120Calls, snmpget, .1.3.6.1.4.1.9.10.19.1.1.6.0,CISCO-POP-MGMT-MIB, cpmV120Calls
get cpmV110Calls, snmpget, .1.3.6.1.4.1.9.10.19.1.1.7.0,CISCO-POP-MGMT-MIB, cpmV110Calls
get cpmActiveDS0sHighWaterMark, snmpget, .1.3.6.1.4.1.9.10.19.1.1.8.0,CISCO-POP-MGMT-MIB, cpmActiveDS0sHighWaterMark
table DS1DS0 Usage Table, snmptable -ib, .1.3.6.1.4.1.9.10.19.1.1.9,CISCO-POP-MGMT-MIB, cpmDS1DS0UsageTable
get cpmSW56CfgBChannelsInUse, snmpget, .1.3.6.1.4.1.9.10.19.1.1.10.0,CISCO-POP-MGMT-MIB, cpmSW56CfgBChannelsInUse
walk cpmCallFailure, snmpwalk, .1.3.6.1.4.1.9.10.19.1.2,CISCO-POP-MGMT-MIB, cpmCallFailure
table cpmActiveCallSummaryTable, snmptable -ib, .1.3.6.1.4.1.9.10.19.1.3.1,CISCO-POP-MGMT-MIB, cpmActiveCallSummaryTable
get cpmCallHistorySummaryTableMaxLength, snmpget, .1.3.6.1.4.1.9.10.19.1.4.1.0 ,CISCO-POP-MGMT-MIB, cpmCallHistorySummaryTableMaxLength
get cpmCallHistorySummaryRetainTimer, snmpget, .1.3.6.1.4.1.9.10.19.1.4.2.0 ,CISCO-POP-MGMT-MIB, cpmCallHistorySummaryRetainTimer
table cpmCallHistorySummaryTable, snmptable -ib, .1.3.6.1.4.1.9.10.19.1.4.3,CISCO-POP-MGMT-MIB, cpmCallHistorySummaryTable
walk cmSystemInfo, snmpwalk, .1.3.6.1.4.1.9.9.47.1.1,CISCO-MODEM-MGMT-MIB, cmSystemInfo
table cmGroupTable, snmptable -ib, .1.3.6.1.4.1.9.9.47.1.2.1,CISCO-MODEM-MGMT-MIB, cmGroupTable
table cmGroupMemberTable, snmptable -ib, .1.3.6.1.4.1.9.9.47.1.2.2,CISCO-MODEM-MGMT-MIB, cmGroupMemberTable
table cmLineStatusTable, snmptable -ib, .1.3.6.1.4.1.9.9.47.1.3.1,CISCO-MODEM-MGMT-MIB, cmLineStatusTable
table cmLineConfigTable, snmptable -ib, .1.3.6.1.4.1.9.9.47.1.3.2,CISCO-MODEM-MGMT-MIB, cmLineConfigTable
table cmLineStatisticsTable, snmptable -ib, .1.3.6.1.4.1.9.9.47.1.3.3,CISCO-MODEM-MGMT-MIB, cmLineStatisticsTable
